Work / Time,Project,Next Action,Works Achive,Due,상위 항목,하위 항목
🚩 스프린트,- 콜드 메일,진행 중,"▶️ https://www.notion.so/168e98ce7f718065a290d0a81107cfc3?pvs=21
  🎯 1차 발송 성공: 132건, 87% / 열람율: 60건, 43.2% / 클릭율: 3건, 2.3% / 전환: 0
  🎯 2차 발송 성공: 134건, 88% / 열람율: 56건, 34.3% / 클릭율: 3건, 2.2% / 전환: 3
  🎯 3차 발송 성공: 90건, 89.1% / 열람율: 39건, 43.3% / 클릭율: 3건, 3.3% / 전환: 1
  
1. 2월 25~26일(수) 4차 콜드-메일 발송
- 1~3차 발송 대상 약 400건 발송ㅣ25.02.26(수) 오전 07:30 완료
4%E1%84%8E%E1%85%A1%20%E1%84%8F%E1%85%A9%E1%86%AF%E1%84%83%E1%85%B3-%E1%84%86%E1%85%A6%E1%84%8B%E1%85%B5%E1%86%AF%20%E1%84%87%E1%85%A1%E1%86%AF%E1%84%89%E1%85%A9%E1%86%BC%201a0e98ce7f71806d9e0adf216d7e0741.md
+ 청창사 카톡방 메일 링크 공유
 ㄴ 🎯 4차 발송 성공: 354건, 87.4% / 열람율: 134건, 37.9% / 클릭율: 14건, 4.0% / 전환: 9
https://www.notion.so/181e98ce7f7180d797ecc45666d08481?pvs=21

2. 3월 25일(화)~26일(수) VC 대상 1차 콜드-메일ㅣ발송 예정",,,
,- 우피 內 콘텐츠 페이지 신설,"완료, 진행 중","1. 우피 사이트 內 Blog 섹션 추가ㅣ완료
https://realizable-factory.oopy.io/blog우피 內 콘텐츠 페이지 신설

2. 이후 브런치, 링크드인, 블로그 운영 예정",,,
,- 콘텐츠 관련,진행 중,"1. 콘텐츠 작성 Flow
 ① https://www.notion.so/18fe98ce7f718020858cef110cde2dc5?pvs=21 → ② 글 검수 후 https://www.notion.so/1a5e98ce7f718026b7afe0fd2210d1a9?pvs=21에 복사 → ③ 콘텐츠 이미지 등 최종 체크

2. 1차 내용 구성 完 , 다듬는 작업 진행 ㅣ작업 중",,,
,"- 혁신의숲 데이터바우처 신청 ",진행 중,"1. 혁신의 숲, 데이터 바우처 신청
혁신의 숲, 데이터바우처 진행 (%E1%84%92%E1%85%A7%E1%86%A8%E1%84%89%E1%85%B5%E1%86%AB%E1%84%8B%E1%85%B4%20%E1%84%89%E1%85%AE%E1%87%81,%20%E1%84%83%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%90%E1%85%A5%E1%84%87%E1%85%A1%E1%84%8B%E1%85%AE%E1%84%8E%E1%85%A5%20%E1%84%8C%E1%85%B5%E1%86%AB%E1%84%92%E1%85%A2%E1%86%BC%201a5e98ce7f71809594bbf9d03b302354.md) 

 ㄴ 3년 연속 신청 불가 → Top Down 접근 확인 必",,,
,- 비용 산정,진행 중,"→ MoB Decision 및 BP 비용 산정ㅣ작업 중 
 ㄴ MoB 의사결정 및 BP 서비스 소개 (https://www.notion.so/MoB-BP-182e98ce7f718093a818c2107e17ac1d?pvs=21)
 ㄴ https://docs.google.com/spreadsheets/d/1-Gv_m1nWarMaNJXBRijIff9FhcrKe3OR/edit?usp=sharing&ouid=107822978668353244494&rtpof=true&sd=true","December 31, 2024 → January 7, 2025",,
🚩 외부 미팅,,완료,"1. (주)그린에이아이 (https://www.notion.so/1a8e98ce7f7180a0a612c4fe22353803?pvs=21) ㅣ28일(금) 오전 10시 완료
2. 팜샐러드 (https://www.notion.so/1a7e98ce7f718017bd93f60f2cb0391e?pvs=21) ㅣ28일(금) 오전 11시 30분 완료
3. (주)어드밴스솔루션 (https://www.notion.so/1a7e98ce7f71803fa0a5c151d61e9dfc?pvs=21) ㅣ28일(금) 오후 1시 완료
4. (주)디아더월드 (https://www.notion.so/1a7e98ce7f7180bb9f5dd0e340d7bbea?pvs=21) ㅣ4일(화) 오후 1시 30분 예정
5. (주)바이오룸 (https://www.notion.so/1ace98ce7f7180dfa6b7d5cfa5667962?pvs=21) ㅣ5일(수) 오후 1시 예정
6. 세탁기 제조업체ㅣ5일(수) 오후5시 예정","January 20, 2025 → January 24, 2025",,
,고객 성공 콘텐츠,진행 중,"→ 위칙
→ 리플라
 ㄴ 콘텐츠 기획 및 인터뷰 질문지 작성
고객 성공 사례 콘텐츠 작성 (%E1%84%80%E1%85%A9%E1%84%80%E1%85%A2%E1%86%A8%20%E1%84%89%E1%85%A5%E1%86%BC%E1%84%80%E1%85%A9%E1%86%BC%20%E1%84%89%E1%85%A1%E1%84%85%E1%85%A8%20%E1%84%8F%E1%85%A9%E1%86%AB%E1%84%90%E1%85%A6%E1%86%AB%E1%84%8E%E1%85%B3%20%E1%84%8C%E1%85%A1%E1%86%A8%E1%84%89%E1%85%A5%E1%86%BC%20198e98ce7f7181468948fb3642fe146b.md) ","March 3, 2025 → March 12, 2025",,
,청장사 및 AC 협업,진행 예정,→ 협업 제안 내용 기획,"February 23, 2025 → February 28, 2025",,
🚩 기타,연차,진행 예정,→ 3월 13일(목)~14일(금) 연차 신청,"March 13, 2025 → March 14, 2025",,
,리얼라이저블 노션 정리,진행 중,→ 90% 작성 완료ㅣ계속해서 보완 중,,,
