작업,담당자,마감일,팀,1~3Days,업무 시작일
가설: 가설 설정,김경재,"July 1, 2024",부동산 정보 매칭 Work,1Day,"July 1, 2024"
가설: 업무 R&R 분담,김경재,"July 1, 2024",부동산 정보 매칭 Work,1Day,"July 1, 2024"
가설: 목표(KPI) 설정,김경재,"July 1, 2024",부동산 정보 매칭 Work,1Day,"July 1, 2024"
가설: 채널 생성,,"July 2, 2024",부동산 정보 매칭 Work,2Day,"July 2, 2024"
가설: 운영 가이드 수립(집필진 온보딩),,"July 2, 2024",부동산 정보 매칭 Work,2Day,"July 1, 2024"
가설: 집필진 모집(롱텀),,"July 2, 2024",부동산 정보 매칭 Work,2Day,"July 2, 2024"
운영: 일/주차 별 콘텐츠 업로드 계획,,"July 3, 2024",부동산 정보 매칭 Work,2Day,"July 2, 2024"
검증: 유료 광고 집행 및 무료 채널 게시(일일 리뷰),,"July 3, 2024",부동산 정보 매칭 Work,3Day,"July 3, 2024"
검증: 광고 Tool 결정 및 셋팅,,"July 3, 2024",부동산 정보 매칭 Work,3Day,"July 3, 2024"
검증: 1주차 실행,,"July 4, 2024 → July 8, 2024",부동산 정보 매칭 Work,업무나열,"July 4, 2024"
검증: 1주차 결과 회고&피드백,,"July 8, 2024",부동산 정보 매칭 Work,업무나열,"July 8, 2024"
검증: 2주차 실행,,"July 9, 2024 → July 15, 2024",부동산 정보 매칭 Work,업무나열,"July 9, 2024"
검증: 2주차 결과 회고&피드백,,"July 15, 2024",부동산 정보 매칭 Work,업무나열,"July 15, 2024"
