작업,담당자,마감일,팀,1~3Days,업무 시작일
업무 R&R 분담,김경재,"June 26, 2024",Warm UP - 부동산 정보 매칭,1 Step,"June 25, 2024"
가설 설정,지숙 윤,"June 26, 2024",Warm UP - 부동산 정보 매칭,1 Step,"June 25, 2024"
목표(KPI) 설정,지숙 윤,"June 26, 2024",Warm UP - 부동산 정보 매칭,1 Step,"June 25, 2024"
검증 방법: 광고 Tool 결정 및 셋팅,지숙 윤,"June 26, 2024",Warm UP - 부동산 정보 매칭,2 Step,"June 25, 2024"
공장 공실 정보 구글폼(타입폼) 생성,"조은빈, 김경재","June 27, 2024",Warm UP - 부동산 정보 매칭,3 Step,"June 25, 2024"
임차 정보 구글폼(타입폼) 생성,"조은빈, 김경재","June 28, 2024",Warm UP - 부동산 정보 매칭,3 Step,"June 25, 2024"
오퍼레이션: 매칭 절차 구축,김경재,"June 28, 2024",Warm UP - 부동산 정보 매칭,3 Step,"June 26, 2024"
1차 검증(실행),,"July 2, 2024 → July 5, 2024",Warm UP - 부동산 정보 매칭,5 Step,"July 2, 2024"
"1주차 회고 피드백, 개선 적용",김경재,"July 8, 2024",Warm UP - 부동산 정보 매칭,업무나열,"July 8, 2024"
2차 검증(실행),,"July 9, 2024 → July 12, 2024",Warm UP - 부동산 정보 매칭,5 Step,"July 9, 2024"
2주차 검증 및 피드백,김경재,"July 15, 2024",Warm UP - 부동산 정보 매칭,업무나열,"July 8, 2024"
공인중개사 협업 체계 구축(미팅 Arrange),"대현 판, 김경재","July 16, 2024 → August 9, 2024",Value UP - 부동산 정보 매칭,1 Step,"July 16, 2024"
각 지역별 공인중개사 실 미팅,김경재,"July 29, 2024 → October 31, 2024",Value UP - 부동산 정보 매칭,1 Step,"July 15, 2024"
임대인/임차인 별 추천 문서 포맷 제작,김경재,"July 22, 2024 → July 26, 2024",Value UP - 부동산 정보 매칭,3 Step,"July 22, 2024"
접수 고객 대상 디스커버리콜 및 온보딩 메일 전달,"김경재, 동명 원","July 29, 2024 → July 31, 2024",Value UP - 부동산 정보 매칭,1 Step,"July 29, 2024"
랜딩페이지 기획 (노코드),"대현 판, 김경재, 지숙 윤","July 29, 2024 → July 31, 2024",Value UP - 부동산 정보 매칭,2 Step,"July 29, 2024"
랜딩페이지 디자인 (노코드),지숙 윤,"August 1, 2024 → August 7, 2024",Value UP - 부동산 정보 매칭,2 Step,"August 1, 2024"
랜딩페이지 구축 (노코드),"김경재, 지숙 윤","August 8, 2024 → August 9, 2024",Value UP - 부동산 정보 매칭,2 Step,"August 7, 2024"
광고 채널 선별,"김경재, 심재균","July 29, 2024 → August 2, 2024",Value UP - 부동산 정보 매칭,3 Step,"July 29, 2024"
광고 셋팅 및 1차 집행,김경재,"August 12, 2024 → August 23, 2024",Value UP - 부동산 정보 매칭,4 Step,"August 8, 2024"
1차 광고 회고 및 피드백(개선),"김경재, 지숙 윤, jaekyun shim, 동명 원, 조은빈, 희현 이","August 26, 2024",Value UP - 부동산 정보 매칭,4 Step,"August 26, 2024"
광고 셋팅 및 2차 집행,김경재,"August 27, 2024 → September 6, 2024",Value UP - 부동산 정보 매칭,5 Step,"August 27, 2024"
2차 광고 회고 및 피드백(개선),"김경재, 지숙 윤, 조은빈, jaekyun shim, 동명 원, 혜천 이, 희현 이","September 9, 2024",Value UP - 부동산 정보 매칭,5 Step,"September 9, 2024"
3차 광고 회고 및 피드백,김경재,"October 7, 2024",Value UP - 부동산 정보 매칭,5 Step,"September 23, 2024"
목표(KPI) 설정,,,Value UP - 부동산 정보 매칭,1 Step,
,,,,업무나열,
,,,,업무나열,
후킹 문구 최종 선정 및 광고 셋팅,,,Warm UP - 부동산 정보 매칭,4 Step,"July 1, 2024"
(지속)임대인  ↔ 임차인 매칭 Operation,,,Value UP - 부동산 정보 매칭,업무나열,
